ID,Name (Chinese) ,Date of Announcement
1,侯景华,4/1/15
2,孙怀山,2/3/17
3,陈旭,1/3/17
4,李文科,28/2/2017
5,王银成,23/2/2017
6,虞海燕,11/1/17
7,卢恩光,16/12/2016
8,吴天君,11/11/16
9,张文雄,8/11/16
10,陈树隆,8/11/16
11,黄兴国,10/9/16
12,尹海林,22/8/2016
13,姚中民,6/6/16
14,李云峰,30/5/2016
15,杨振超,24/5/2016
16,张越,16/4/2016
17,李成云,9/4/16
18,苏宏章,6/4/16
19,杨鲁豫,6/4/16
20,李嘉,23/3/2016
21,王阳,16/3/2016
22,卢子跃,16/3/2016
23,王珉,4/3/16
24,蔡希有,6/2/16
25,刘志庚,4/2/16
26,王保安,26/1/2016
27,龚清概,19/1/2016
28,陈雪枫,16/1/2016
29,常小兵,27/12/2015
30,盖如垠,8/12/15
31,周来振,24/11/2015
32,姚刚,13/11/2015
33,吕锡文,11/11/15
34,艾宝俊,10/11/15
35,白雪山,6/11/15
36,司献民,4/11/15
37,朱福寿,2/11/15
38,苏树林,7/10/15
39,张乐斌,22/9/2015
40,张育军,16/9/2015
41,邓崎琳,29/8/2015
42,杨栋梁,18/8/2015
43,谷春立,1/8/15
44,张力军,30/7/2015
45,周本顺,24/7/2015
46,奚晓明,12/7/15
47,乐大克,26/6/2015
48,肖天涉,25/6/2015
49,余远辉,22/5/2015
50,王天普,27/4/2015
51,钟世坚,1/4/15
52,徐钢,20/3/2015
53,廖永远,16/3/2015
54,徐建一,15/3/2015
55,仇和,15/3/2015
56,栗智,11/3/15
57,景春华,3/3/15
58,斯鑫良,16/2/2015
59,陆武成,23/1/2015
60,霍克,16/1/2015
61,马建,16/1/2015
62,杨卫泽,4/1/15
63,孙鸿志,26/12/2014
64,令计划,22/12/2014
65,韩学键,22/12/2014
66,王敏,18/12/2014
67,朱明国,28/11/2014
68,隋凤富,27/11/2014
69,梁滨,20/11/2014
70,何家成,11/10/14
71,赵少麟,11/10/14
72,秦玉海,21/9/2014
73,潘逸阳,17/9/2014
74,孙兆学,15/9/2014
75,任润厚,29/8/2014
76,白恩培,29/8/2014
77,白云,29/8/2014
78,聂春玉,23/8/2014
79,陈川平,23/8/2014
80,陈铁新,24/7/2014
81,杨森林,23/7/2014
82,武长顺,20/7/2014
83,韩先聪,12/7/14
84,谭力,8/7/14
85,万庆良,27/6/2014
86,杜善学,19/6/2014
87,令政策,19/6/2014
88,苏荣,14/6/2014
